,id,distance
0,1,48332.65750942014
1,2,6395.101359358176
2,3,1483.205113387735
3,4,54113.012582044576
4,5,51659.072034779645
5,6,49701.64476394973
6,7,23286.60285729743
7,8,36771.182860190725
8,9,50403.89360703752
9,10,47046.64560246457
10,11,40331.96200488801
11,12,47934.94310963752
12,13,45512.799657748066
13,14,3935.8146418939677
14,15,255.70973389630242
15,16,4644.087986725667
16,17,44481.97601594878
17,18,46714.08586854398
18,19,61044.24478240757
19,20,48544.536420279626
20,21,34947.80356968958
21,22,39718.372400963155
22,23,31224.88898398724
23,24,28413.739879637073
24,25,59803.07152118019
25,26,31398.184537274126
26,27,53330.12133196735
27,28,47767.42455104636
28,29,30499.565878334804
29,30,56942.882874302035
30,31,47553.06056016063
31,32,70939.06999320175
32,33,50963.67273214648
33,34,38079.13642410452
34,35,37138.05435758148
35,36,54347.27291229272
36,37,60692.41837139916
37,38,42038.48511895255
38,39,49402.508277438676
39,40,49402.508277438676
40,41,20635.88697870328
41,42,47189.384350851156
42,43,47034.32992778626
43,44,45700.475462037604
44,45,48028.7309100526
45,46,55820.88498921545
46,47,42168.98190872556
47,48,48742.419569779544
48,49,48871.716074024094
49,50,40107.28451488664
